grid size 	cell count 	atoms count 	search radius 	setup time 	search time 	total time 
1	1	19905	6.533000	3.543768	0.010606	3.554374
2	8	19905	6.533000	2.715192	0.009798	2.724990
3	27	19905	6.533000	2.762000	0.010222	2.772222
4	64	19905	6.533000	2.731030	0.009788	2.740818
5	125	19905	6.533000	2.665475	0.010121	2.675596
6	216	19905	6.533000	2.915141	0.010384	2.925525
7	343	19905	6.533000	2.552545	0.010515	2.563061
8	512	19905	6.533000	2.848222	0.009869	2.858091
9	729	19905	6.533000	2.894646	0.009263	2.903909
10	1000	19905	6.533000	3.257566	0.009556	3.267121
11	1331	19905	6.533000	3.181455	0.009343	3.190798
12	1728	19905	6.533000	3.188040	0.009444	3.197485
13	2197	19905	6.533000	3.327899	0.009384	3.337283
14	2744	19905	6.533000	3.519111	0.009495	3.528606
15	3375	19905	6.533000	3.590717	0.009475	3.600192
16	4096	19905	6.533000	3.589798	0.009313	3.599111
17	4913	19905	6.533000	3.492040	0.009465	3.501505
18	5832	19905	6.533000	2.444495	0.009253	2.453747
19	6859	19905	6.533000	3.024657	0.009354	3.034010
20	8000	19905	6.533000	3.285333	0.009384	3.294717
